Type    Bid     Ask     Spot      Strike    Rate      DaysToMaturity    ImpliedVolatility
Call    5.45    5.60    158.28    155.00    0.0099    29                0.2084
Call    2.73    2.82    158.28    160.00    0.0099    29                0.1986
Call    1.18    1.25    158.28    165.00    0.0099    29                0.1987
Call    0.78    0.84    158.28    167.50    0.0099    29                0.2037
Call    0.35    0.38    158.28    172.50    0.0099    29                0.2153
Put     0.37    0.41    158.28    145.00    0.0099    29                0.2275
Put     0.61    0.65    158.28    148.00    0.0099    29                0.2139
Put     0.86    0.92    158.28    150.00    0.0099    29                0.2080
Put     1.34    1.40    158.28    152.50    0.0099    29                0.2009
Put     2.04    2.09    158.28    155.00    0.0099    29                0.1947
Put     3.00    3.05    158.28    157.50    0.0099    29                0.1898
Put     5.80    6.05    158.28    162.50    0.0099    29                0.1935
