Type           Bid               Ask               Spot              Strike            Rate              DaysToMaturity    ImpliedVolatility Vol(Bisec)        Vol(Secant)       
Call              5.45              5.6               158.28            155               0.0099            29                0.2084            0.20274           0.20274           
Call              2.73              2.82              158.28            160               0.0099            29                0.1986            0.196507          0.196507          
Call              1.18              1.25              158.28            165               0.0099            29                0.1987            0.197512          0.197512          
Call              0.78              0.84              158.28            167.5             0.0099            29                0.2037            0.202801          0.202801          
Call              0.35              0.38              158.28            172.5             0.0099            29                0.2153            0.215491          0.215491          
Put               0.37              0.41              158.28            145               0.0099            29                0.2275            0.230074          0.230074          
Put               0.61              0.65              158.28            148               0.0099            29                0.2139            0.217169          0.217169          
Put               0.86              0.92              158.28            150               0.0099            29                0.208             0.210819          0.210819          
Put               1.34              1.4               158.28            152.5             0.0099            29                0.2009            0.204508          0.204508          
Put               2.04              2.09              158.28            155               0.0099            29                0.1947            0.199185          0.199185          
Put               3                 3.05              158.28            157.5             0.0099            29                0.1898            0.194873          0.194873          
Put               5.8               6.05              158.28            162.5             0.0099            29                0.1935            0.194471          0.194471          
